Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
B98	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B99	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B102	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B112	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B121	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B126	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B127	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B131	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B132	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B142	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B154	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B155	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B157	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
B162	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B166	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B168	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B170	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B175	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B176	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B181	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B191	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B196	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B202	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
B204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B205	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B211	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B216	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B217	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B224	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B227	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B228	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B229	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B233	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B237	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B238	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B244	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B251	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B264	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B266	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B275	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B276	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B277	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B281	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B282	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B283	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B284	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B288	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B289	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B290	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B291	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B293	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B294	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B295	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B296	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B297	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B298	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B300	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B303	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B306	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B307	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B308	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B309	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B310	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B311	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B312	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B313	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B314	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
B328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B334	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B346	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B351	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B352	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B359	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B360	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B372	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B391	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B396	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B400	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B413	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B414	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B423	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B426	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B427	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B429	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B433	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B434	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B435	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B436	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B438	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B439	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B440	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B441	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
B442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B448	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B449	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B450	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
B455	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B457	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B458	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B459	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B463	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B464	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B465	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B466	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B467	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B468	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B471	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B472	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B473	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B474	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B475	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B476	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B477	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B478	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B479	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B480	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B481	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B482	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B483	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B486	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B491	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B492	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B494	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B495	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B496	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B498	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B499	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B500	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B501	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B502	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B503	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B505	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B506	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B507	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B508	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B509	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B512	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B513	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B514	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B516	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B522	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B536	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B539	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B555	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B565	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B574	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B579	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B580	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B590	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B596	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B597	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B598	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B602	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B604	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B607	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B616	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B620	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B626	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B627	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B635	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B638	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B644	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
